SM_Count,Time(us),TFLOPs
2,147073,59.8079
4,73550.8,119.592
6,49039,179.369
8,36773.5,239.196
10,29449.6,298.683
12,24628.5,357.151
14,21120.1,416.48
16,18496.8,475.547
18,16441.4,534.997
20,14816.8,593.658
22,13455.8,653.702
24,12357.8,711.784
26,11421,770.17
28,10594.1,830.279
30,9913.4,887.293
32,9266.06,949.281
34,8758.6,1004.28
36,8254.84,1065.57
38,7824.24,1124.21
40,7464.16,1178.44
42,7103.18,1238.33
44,6801.86,1293.19
46,6523.93,1348.28
48,6245.74,1408.34
50,5960.67,1475.69
52,5751.12,1529.46
54,5529.7,1590.7
56,5390.48,1631.78
58,5172.41,1700.58
60,5034.81,1747.06
62,4891.88,1798.1
64,4681.39,1878.95
66,4606.38,1909.54
68,4463.36,1970.73
70,4320.25,2036.01
72,4188.66,2099.98
74,4120.01,2134.97
76,3975.24,2212.72
78,3921.66,2242.95
80,3872.61,2271.36
82,3749.12,2346.18
84,3698.2,2378.48
86,3657.5,2404.95
88,3609.12,2437.19
90,3572.39,2462.24
92,3538.58,2485.77
94,3506.25,2508.69
96,3459.45,2542.63
98,3419.87,2572.06
100,3368.98,2610.91
102,3405.08,2583.23
104,3361.56,2616.67
106,3301.5,2664.27
108,3250.35,2706.2
110,3280.3,2681.49
112,3215.35,2735.65
114,3157.52,2785.76
116,3198.04,2750.46
118,3145.75,2796.18
120,3162.25,2781.59
122,3116.06,2822.83
124,3116.91,2822.06
126,3064.53,2870.29
128,2984.49,2947.27
130,3029.96,2903.04
132,3037.78,2895.57
134,2999.27,2932.75
136,3036.28,2896.99
138,2992.86,2939.03
140,3014.26,2918.16
142,2952.97,2978.73
144,2961.52,2970.12
146,2989.88,2941.95
148,2939.67,2992.21
