SM_Count,Time(us),TFLOPs
2,147010,59.8335
4,73491.4,119.689
6,49020.1,179.439
8,36758.1,239.297
10,29432.3,298.858
12,24564.5,358.081
14,21058.5,417.699
16,18418.6,477.566
18,16393.1,536.574
20,14806.9,594.055
22,13436.5,654.642
24,12354.4,711.981
26,11416.1,770.499
28,10568.1,832.328
30,9907.01,887.866
32,9256.59,950.252
34,8756.37,1004.54
36,8249.05,1066.32
38,7814.55,1125.6
40,7451.17,1180.5
42,7089.59,1240.71
44,6766.18,1300.01
46,6478.88,1357.66
48,6229.26,1412.06
50,5939.17,1481.03
52,5721.8,1537.3
54,5501.33,1598.9
56,5331.84,1649.73
58,5139.14,1711.59
60,5003.06,1758.14
62,4829.48,1821.33
64,4638.91,1896.16
66,4541.74,1936.72
68,4424.49,1988.04
70,4274.05,2058.02
72,4128.92,2130.36
74,4058.92,2167.1
76,3915.69,2246.37
78,3860.57,2278.45
80,3823.65,2300.44
82,3712.13,2369.55
84,3676.49,2392.53
86,3628.18,2424.38
88,3585.52,2453.23
90,3558.27,2472.01
92,3535.88,2487.67
94,3501.36,2512.19
96,3451.96,2548.15
98,3417.59,2573.77
100,3367.72,2611.88
102,3398.38,2588.32
104,3351.46,2624.55
106,3295.8,2668.88
108,3244.8,2710.83
110,3275.16,2685.7
112,3209.87,2740.33
114,3153.19,2789.59
116,3191.03,2756.5
118,3140.47,2800.89
120,3154.55,2788.38
122,3109.76,2828.54
124,3102.25,2835.39
126,3060.43,2874.14
128,2980.61,2951.1
130,3017.62,2914.91
132,3030.13,2902.88
134,2987.85,2943.96
136,3010.53,2921.78
138,2968.63,2963.01
140,2971.75,2959.91
142,2930.84,3001.22
144,2936.28,2995.65
146,2932.89,2999.13
148,2900.2,3032.92
